url,inIndexNowIntended,bingLastCrawled,bingDiscoveryDate,bingIsPage,bingDocumentSize,gscCoverage,gscVerdict,gap
https://ccamilocristian.github.io/,Y,2026-09-16T19:03:41+00:00,2021-03-25T07:00:00+00:00,True,34802,Submitted and indexed,PASS,ok_both
https://ccamilocristian.github.io/tabs/profile/,Y,2026-09-14T17:55:21+00:00,2026-08-09T07:00:00+00:00,True,34210,Submitted and indexed,PASS,ok_both
https://ccamilocristian.github.io/tabs/intelligence/,Y,2026-08-18T22:29:35+00:00,2026-07-10T07:00:00+00:00,True,42009,Submitted and indexed,PASS,ok_both
https://ccamilocristian.github.io/tabs/archives/,N,2026-09-11T10:50:44+00:00,2022-09-04T07:00:00+00:00,True,24296,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/tabs/stack/,N,2026-09-17T03:26:57+00:00,2026-08-12T07:00:00+00:00,True,23127,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/tabs/economics-lens/,N,2026-09-04T02:44:43+00:00,2026-07-09T07:00:00+00:00,True,22927,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/colombia-cpi-indexation-engine-english/,Y,2026-09-12T04:38:10+00:00,2026-08-06T07:00:00+00:00,True,49087,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/real-cost-of-credit-colombia-english/,Y,2026-07-31T11:04:33+00:00,2026-07-31T07:00:00+00:00,True,0,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/music-player-english/,Y,2026-09-16T19:13:17+00:00,2026-06-23T07:00:00+00:00,True,71598,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/convertidor-english/,Y,2026-07-30T06:57:49+00:00,2021-05-22T07:00:00+00:00,True,48800,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/automation-sending/,Y,2026-09-16T19:04:15+00:00,2021-05-24T07:00:00+00:00,True,45049,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/icfes-english/,N,2026-08-29T20:27:30+00:00,2021-05-22T07:00:00+00:00,True,37572,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/scraping-colombia-english/,N,2026-09-16T01:05:11+00:00,2021-05-22T07:00:00+00:00,True,83571,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/loan-simulator-english/,N,2026-09-16T08:45:30+00:00,2026-06-26T07:00:00+00:00,True,55351,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/minsalud-decrees-english/,N,2026-08-12T12:24:01+00:00,2026-07-08T07:00:00+00:00,True,36458,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/step-colombia-english/,N,2026-08-27T07:55:23+00:00,2026-07-18T07:00:00+00:00,True,36616,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/optimation-consumer-english/,N,2026-09-11T01:53:44+00:00,2021-06-01T07:00:00+00:00,True,60877,Submitted and indexed,PASS,ok_both
https://ccamilocristian.github.io/posts/creating-fun-game/,N,2026-09-09T09:28:15+00:00,2023-05-10T07:00:00+00:00,True,55141,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/experimental-desing/,N,2026-08-18T18:30:19+00:00,2023-05-10T07:00:00+00:00,True,46974,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/mastering-visualization-plotly/,N,2026-07-19T10:28:12+00:00,2023-04-29T07:00:00+00:00,True,46474,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
https://ccamilocristian.github.io/posts/behavioral-economics-data-analysis-applications/,N,2026-09-15T21:57:33+00:00,2023-03-31T07:00:00+00:00,True,36808,URL is unknown to Google,NEUTRAL,bing_known_gsc_unknown
