p0Bucket,url,slug,gscCoverage,gscVerdict,gscLastCrawl,bingLastCrawled,bingDiscoveryDate,inIndexNowIntended,gap,gscIssueBucket
P0_es_stale_noindex,https://ccamilocristian.github.io/posts/automatizacion-envio-correos/,automatizacion-envio-correos,Excluded by ‘noindex’ tag,NEUTRAL,2026-06-24T13:08:30Z,2026-09-16T19:04:08+00:00,2021-03-28T07:00:00+00:00,Y,bing_known_gsc_stale_noindex,P0_stale_noindex_needs_recrawl
P0_es_stale_noindex,https://ccamilocristian.github.io/posts/convertidor-IPC/,convertidor-IPC,Excluded by ‘noindex’ tag,NEUTRAL,2026-07-14T20:07:11Z,2026-08-15T17:06:37+00:00,2021-04-27T07:00:00+00:00,Y,bing_known_gsc_stale_noindex,P0_stale_noindex_needs_recrawl
P0_es_stale_noindex,https://ccamilocristian.github.io/posts/icfes-conexion-api/,icfes-conexion-api,Excluded by ‘noindex’ tag,NEUTRAL,2026-08-03T10:06:18Z,2026-09-13T10:09:23+00:00,2021-03-28T07:00:00+00:00,N,bing_known_gsc_stale_noindex,P0_stale_noindex_needs_recrawl
P0_es_stale_noindex,https://ccamilocristian.github.io/posts/liquidador-intereses/,liquidador-intereses,Excluded by ‘noindex’ tag,NEUTRAL,2026-07-24T15:29:11Z,2026-09-14T03:37:08+00:00,2021-04-20T07:00:00+00:00,N,bing_known_gsc_stale_noindex,P0_stale_noindex_needs_recrawl
P0_es_stale_noindex,https://ccamilocristian.github.io/posts/optimizacion_teoria_consumidor/,optimizacion_teoria_consumidor,Excluded by ‘noindex’ tag,NEUTRAL,2026-07-21T21:47:55Z,2026-08-30T00:46:42+00:00,2021-03-28T07:00:00+00:00,N,bing_known_gsc_stale_noindex,P0_stale_noindex_needs_recrawl
P0_es_stale_noindex,https://ccamilocristian.github.io/posts/reproductor-musica/,reproductor-musica,Excluded by ‘noindex’ tag,NEUTRAL,2026-07-17T17:56:04Z,2026-09-16T19:04:15+00:00,2021-03-28T07:00:00+00:00,Y,bing_known_gsc_stale_noindex,P0_stale_noindex_needs_recrawl
P0_crawled_not_indexed,https://ccamilocristian.github.io/posts/scraping-plebiscito-colombia/,scraping-plebiscito-colombia,Crawled - currently not indexed,NEUTRAL,2026-05-08T20:12:33Z,2026-09-03T11:38:02+00:00,2021-03-28T07:00:00+00:00,N,bing_known_gsc_crawled_not_indexed,P0_crawled_not_indexed
P0_money_en_unknown,https://ccamilocristian.github.io/posts/automation-sending/,automation-sending,URL is unknown to Google,NEUTRAL,,2026-09-16T19:04:15+00:00,2021-05-24T07:00:00+00:00,Y,bing_known_gsc_unknown,P1_unknown
P0_money_en_unknown,https://ccamilocristian.github.io/posts/colombia-cpi-indexation-engine-english/,colombia-cpi-indexation-engine-english,URL is unknown to Google,NEUTRAL,,2026-09-12T04:38:10+00:00,2026-08-06T07:00:00+00:00,Y,bing_known_gsc_unknown,P0_money_en_unknown
P0_money_en_unknown,https://ccamilocristian.github.io/posts/convertidor-english/,convertidor-english,URL is unknown to Google,NEUTRAL,,2026-07-30T06:57:49+00:00,2021-05-22T07:00:00+00:00,Y,bing_known_gsc_unknown,P1_unknown
